Ontology ID	OccO Label	Abilities
OCCO:17219907	photonics engineers	written comprehension| information ordering| inductive reasoning| deductive reasoning| written expression| oral comprehension
OCCO:17219908	robotics engineers	problem sensitivity| written comprehension| oral comprehension| information ordering| inductive reasoning| deductive reasoning
OCCO:17219909	nanosystems engineers	oral expression| oral comprehension| inductive reasoning| deductive reasoning| written expression| written comprehension
OCCO:17219910	wind energy engineers	deductive reasoning| written comprehension| mathematical reasoning| inductive reasoning| number facility| written expression
OCCO:17219911	solar energy systems engineers	written comprehension| oral comprehension| written expression| oral expression| deductive reasoning| problem sensitivity
OCCO:17301300	mechanical drafters	near vision| visualization| mathematical reasoning| written expression| speech recognition| speech clarity
OCCO:17302401	robotics technicians	deductive reasoning| written comprehension| oral comprehension| near vision| inductive reasoning| problem sensitivity
OCCO:17302701	automotive engineering technicians	written comprehension| deductive reasoning| problem sensitivity| near vision| inductive reasoning| oral comprehension
OCCO:17302901	non-destructive testing specialists	problem sensitivity| near vision| written comprehension| oral comprehension| inductive reasoning| deductive reasoning
OCCO:17302908	photonics technicians	problem sensitivity| written expression| written comprehension| oral comprehension| near vision| information ordering
OCCO:19101100	animal scientists	oral expression| inductive reasoning| written expression| written comprehension| oral comprehension| deductive reasoning
OCCO:19101200	food scientists and technologists	written comprehension| problem sensitivity| oral comprehension| inductive reasoning| oral expression| deductive reasoning
OCCO:19101300	soil and plant scientists	written comprehension| oral comprehension| written expression| oral expression| information ordering| inductive reasoning
OCCO:19102100	biochemists and biophysicists	written comprehension| inductive reasoning| deductive reasoning| written expression| oral expression| oral comprehension
OCCO:19102200	microbiologists	written comprehension| inductive reasoning| written expression| problem sensitivity| oral expression| oral comprehension
OCCO:19102300	zoologists and wildlife biologists	written comprehension| oral comprehension| written expression| oral expression| inductive reasoning| deductive reasoning
OCCO:19102901	bioinformatics scientists	written expression| written comprehension| oral comprehension| problem sensitivity| oral expression| information ordering
OCCO:19102902	molecular and cellular biologists	written comprehension| inductive reasoning| oral comprehension| written expression| oral expression| near vision
