Ontology ID	OccO Label	Skills
OCCO:15209901	bioinformatics technicians	Reading Comprehension|Writing|Judgment and Decision Making|Critical Thinking|Complex Problem Solving|Active Listening
OCCO:17101100	"architects, except landscape and naval"	Speaking|Critical Thinking|Reading Comprehension|Operations Analysis|Judgment and Decision Making|Complex Problem Solving
OCCO:17101200	landscape architects	Active Listening|Reading Comprehension|Speaking|Coordination|Writing|Time Management
OCCO:17102100	cartographers and photogrammetrists	Reading Comprehension|Writing|Critical Thinking|Active Listening|Time Management|Active Learning
OCCO:17102200	surveyors	Reading Comprehension|Mathematics|Writing|Speaking|Critical Thinking|Time Management
OCCO:17102201	geodetic surveyors	Mathematics|Reading Comprehension|Critical Thinking|Active Listening|Judgment and Decision Making|Complex Problem Solving
OCCO:17201100	aerospace engineers	Critical Thinking|Science|Reading Comprehension|Writing|Speaking|Operations Analysis
OCCO:17202100	agricultural engineers	Critical Thinking|Writing|Reading Comprehension|Complex Problem Solving|Judgment and Decision Making|Active Listening
OCCO:17204100	chemical engineers	Science|Critical Thinking|Complex Problem Solving|Systems Analysis|Judgment and Decision Making|Mathematics
OCCO:17205100	civil engineers	Reading Comprehension|Critical Thinking|Systems Analysis|Speaking|Operations Analysis|Mathematics
OCCO:17205101	transportation engineers	Complex Problem Solving|Speaking|Critical Thinking|Writing|Reading Comprehension|Judgment and Decision Making
OCCO:17205102	water/wastewater engineers	Mathematics|Critical Thinking|Complex Problem Solving|Speaking|Reading Comprehension|Judgment and Decision Making
OCCO:17206100	computer hardware engineers	Reading Comprehension|Critical Thinking|Speaking|Active Listening|Writing|Active Learning
OCCO:17207100	electrical engineers	Writing|Reading Comprehension|Critical Thinking|Complex Problem Solving|Active Listening|Speaking
OCCO:17207200	"electronics engineers, except computer"	Reading Comprehension|Critical Thinking|Complex Problem Solving|Writing|Systems Analysis|Speaking
OCCO:17207201	radio frequency identification device specialists	Critical Thinking|Speaking|Active Listening|Reading Comprehension|Judgment and Decision Making|Complex Problem Solving
OCCO:17208100	environmental engineers	Reading Comprehension|Critical Thinking|Complex Problem Solving|Active Listening|Active Learning|Writing
OCCO:17211102	fire-prevention and protection engineers	Critical Thinking|Active Listening|Reading Comprehension|Complex Problem Solving|Systems Analysis|Speaking
OCCO:17211200	industrial engineers	Reading Comprehension|Writing|Critical Thinking|Complex Problem Solving|Active Listening|Speaking
OCCO:17211201	human factors engineers and ergonomists	Critical Thinking|Complex Problem Solving|Speaking|Reading Comprehension|Active Listening|Writing
OCCO:17211202	validation engineers	Science|Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking
OCCO:17211203	manufacturing engineers	Active Listening|Systems Analysis|Speaking|Reading Comprehension|Judgment and Decision Making|Complex Problem Solving
OCCO:17213100	materials engineers	Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Science
OCCO:17214100	mechanical engineers	Science|Reading Comprehension|Mathematics|Critical Thinking|Active Listening|Operations Analysis
OCCO:17214101	fuel cell engineers	Reading Comprehension|Systems Analysis|Critical Thinking|Writing|Science|Judgment and Decision Making
