Ontology ID	LABEL	Entity type	SubClass Of [NAMED]	alternative term	definition	definition source	Reference web link (top ability)	term editor	desposition	role	SubProperty Of
OCCO:53305300	shuttle driver or chauffeur	Class	passenger vehicle driver	Shuttle Drivers and Chauffeurs	Drive a motor vehicle to transport passengers on a planned or scheduled basis. May collect a fare. Includes nonemergency medical transporters and hearse drivers.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53305400	taxi driver	Class	passenger vehicle driver	Taxi Drivers	"Drive a motor vehicle to transport passengers on an unplanned basis and charge a fare, usually based on a meter."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53309000	miscellaneous motor vehicle operator	Class	motor vehicle operator	Miscellaneous Motor Vehicle Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53309900	"motor vehicle operator, all other"	Class	miscellaneous motor vehicle operator	"Motor Vehicle Operators, All Other"	All motor vehicle operators not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53400000	rail transportation worker	Class	transportation or material moving occupation	Rail Transportation Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53401000	locomotive engineer or operator	Class	rail transportation worker	Locomotive Engineers and Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53402000	"railroad brake, signal, or switch operator or locomotive firer (broad)"	Class	rail transportation worker	"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53402200	"railroad brake, signal, or switch operator or locomotive firer"	Class	"railroad brake, signal, or switch operator or locomotive firer (broad)"	"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"	"Operate or monitor railroad track switches or locomotive instruments. May couple or uncouple rolling stock to make up or break up trains. Watch for and relay traffic signals. May inspect couplings, air hoses, journal boxes, and hand brakes. May watch for dragging equipment or obstacles on rights-of-way."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53403000	railroad conductor or yardmaster (broad)	Class	rail transportation worker	Railroad Conductors and Yardmasters		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53404000	subway or streetcar operator (broad)	Class	rail transportation worker	Subway and Streetcar Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
